date,pen,n_birds,n_alive,age_day,mean_bw_g,feed_intake_g,fi_per_bird_g,visits,station_busy_pct,overlap_events,bin_refills_today,temp_c_target,humidity_avg
2026-09-08,P01,3,3,35,2110,480,160,154,20.8,6,0,20,63.1
2026-09-08,P02,5,5,35,1980,918,184,296,39.1,30,0,20,64.7
2026-09-08,P03,7,7,35,2109,1296,185,416,56.5,63,0,20,64.6
2026-09-08,P04,8,8,35,2007,1520,190,490,66.3,101,0,20,63.6
2026-09-08,P05,10,10,35,1966,1732,173,557,75.2,111,0,20,63.9
2026-09-08,P06,12,12,35,2024,2275,190,732,98.9,186,0,20,64.6
2026-09-09,P01,3,3,36,2226,517,172,158,21.9,17,0,20,61.8
2026-09-09,P02,5,5,36,2093,941,188,288,40.1,35,0,20,62.7
2026-09-09,P03,7,7,36,2222,1279,183,391,54.1,66,0,20,61.5
2026-09-09,P04,8,8,36,2102,1663,208,508,70.2,82,0,20,65.4
2026-09-09,P05,10,10,36,2048,1921,192,587,81.1,132,0,20,63.1
2026-09-09,P06,12,12,36,2113,2347,196,718,99.9,193,0,20,63.5
2026-09-10,P01,3,3,37,2380,571,190,166,23.4,12,0,20,62.7
2026-09-10,P02,5,5,37,2162,988,198,288,40.9,43,0,20,62.2
2026-09-10,P03,7,7,37,2329,1441,206,419,59.5,71,0,20,61.6
2026-09-10,P04,8,8,37,2169,1469,184,428,60.3,83,0,20,63.8
2026-09-10,P05,10,10,37,2131,2002,200,583,81.2,137,0,20,65.6
2026-09-10,P06,12,12,37,2208,2436,203,710,99.9,172,1,20,63.6
2026-09-11,P01,3,3,38,2370,635,212,177,25.7,17,0,20,63.9
2026-09-11,P02,5,5,38,2277,977,195,272,39.0,32,1,20,60.8
2026-09-11,P03,7,7,38,2383,1344,192,373,53.7,65,0,20,63.9
2026-09-11,P04,8,8,38,2254,1658,207,461,66.2,93,0,20,64.6
2026-09-11,P05,10,10,38,2198,1976,198,549,80.0,124,0,20,64.0
2026-09-11,P06,12,12,38,2301,2335,195,648,92.3,174,0,20,63.5
2026-09-12,P01,3,3,39,2519,620,207,164,24.2,14,0,20,63.0
2026-09-12,P02,5,5,39,2343,1012,202,268,39.1,33,0,20,61.3
2026-09-12,P03,7,7,39,2489,1361,194,360,52.3,63,0,20,63.0
2026-09-12,P04,8,8,39,2356,1705,213,451,66.7,85,0,20,63.0
2026-09-12,P05,10,10,39,2292,1991,199,528,77.0,113,0,20,66.4
2026-09-12,P06,12,12,39,2385,2774,231,737,108.0,206,0,20,63.1
2026-09-13,P01,3,3,40,2638,623,208,157,23.8,14,0,20,63.3
2026-09-13,P02,5,5,40,2403,955,191,243,36.9,23,0,20,62.8
2026-09-13,P03,7,7,40,2586,1490,213,378,57.4,61,0,20,64.5
2026-09-13,P04,8,8,40,2455,1653,207,417,62.6,76,0,20,64.7
2026-09-13,P05,10,10,40,2386,2025,202,512,77.3,120,0,20,66.1
2026-09-13,P06,12,12,40,2475,2528,211,639,96.2,177,0,20,63.0
2026-09-14,P01,3,3,41,2737,629,210,153,23.3,6,0,20,63.5
2026-09-14,P02,5,5,41,2508,1029,206,249,38.6,38,0,20,62.7
2026-09-14,P03,7,7,41,2693,1557,222,376,57.8,73,0,20,62.6
2026-09-14,P04,8,8,41,2529,1657,207,402,60.6,83,0,20,66.6
2026-09-14,P05,10,10,41,2484,2062,206,498,75.9,112,1,20,62.9
2026-09-14,P06,12,12,41,2560,2470,206,600,92.0,159,0,20,63.8
2026-09-15,P01,3,3,42,2821,642,214,148,23.4,11,0,20,62.1
2026-09-15,P02,5,5,42,2631,1149,230,266,41.7,37,0,20,62.9
2026-09-15,P03,7,7,42,2791,1523,218,352,54.6,71,0,20,64.2
2026-09-15,P04,8,8,42,2624,1662,208,386,60.6,78,0,20,60.8
2026-09-15,P05,10,10,42,2579,2045,204,473,73.2,109,0,20,62.9
2026-09-15,P06,12,12,42,2625,2593,216,600,93.1,166,0,20,63.4
2026-09-16,P01,3,3,43,2904,649,216,144,21.8,10,0,20,64.7
2026-09-16,P02,5,5,43,2694,1017,203,226,35.7,28,0,20,61.3
2026-09-16,P03,7,7,43,2899,1564,223,347,55.5,63,0,20,62.3
2026-09-16,P04,8,8,43,2702,1617,202,360,56.9,75,0,20,61.5
2026-09-16,P05,10,10,43,2650,2186,219,486,77.0,119,0,20,64.5
2026-09-16,P06,12,12,43,2745,2554,213,567,89.9,154,0,20,60.8
2026-09-17,P01,3,3,44,3007,653,218,139,22.6,11,0,20,62.1
2026-09-17,P02,5,5,44,2780,1100,220,233,37.9,34,0,20,62.5
2026-09-17,P03,7,7,44,2979,1509,216,322,51.7,54,0,20,60.8
2026-09-17,P04,8,8,44,2798,1677,210,357,57.3,82,0,20,58.1
2026-09-17,P05,10,10,44,2757,2204,220,470,75.8,110,0,20,61.6
2026-09-17,P06,12,12,44,2820,2707,226,577,93.1,165,0,20,63.9
2026-09-18,P01,3,3,45,3065,687,229,140,23.6,18,0,20,63.2
2026-09-18,P02,5,5,45,2863,1142,228,233,38.4,37,0,20,61.2
2026-09-18,P03,7,7,45,3040,1654,236,340,54.0,58,0,20,61.5
2026-09-18,P04,8,8,45,2861,1718,215,352,57.4,68,1,20,60.7
2026-09-18,P05,10,10,45,2811,2245,224,460,73.9,114,0,20,61.8
2026-09-18,P06,12,12,45,2922,2794,233,571,91.8,151,0,20,61.7
2026-09-19,P01,3,3,46,3190,577,192,113,19.0,10,0,20,59.4
2026-09-19,P02,5,5,46,2951,1130,226,223,36.8,24,0,20,62.1
2026-09-19,P03,7,7,46,3119,1655,236,325,54.1,58,0,20,60.2
2026-09-19,P04,8,8,46,3011,1770,221,347,58.4,79,0,20,61.1
2026-09-19,P05,10,10,46,2882,2384,238,469,78.1,131,0,20,61.3
2026-09-19,P06,12,12,46,2967,2768,231,544,90.3,144,1,20,63.3
2026-09-20,P01,3,3,47,3220,672,224,127,21.0,14,1,20,62.1
2026-09-20,P02,5,5,47,2998,1129,226,213,36.5,31,0,20,61.4
2026-09-20,P03,7,7,47,3212,1602,229,302,50.3,56,0,20,60.2
2026-09-20,P04,8,8,47,3053,1766,221,333,56.7,64,0,20,62.5
2026-09-20,P05,10,10,47,2981,2153,215,406,69.9,101,0,20,59.6
2026-09-20,P06,12,12,47,3087,2828,236,532,90.0,150,0,20,61.7
2026-09-21,P01,3,3,48,3290,684,228,124,21.2,7,0,20,62.3
2026-09-21,P02,5,5,48,3087,1042,208,190,32.2,21,0,20,59.9
2026-09-21,P03,7,7,48,3345,1597,228,292,50.2,49,1,20,57.8
2026-09-21,P04,8,8,48,3155,1865,233,339,58.1,74,0,20,59.4
2026-09-21,P05,10,10,48,3036,2316,232,419,71.5,99,0,20,61.1
2026-09-21,P06,12,12,48,3203,2923,244,530,91.6,143,0,20,62.9
2026-09-22,P01,3,3,49,3441,695,232,122,21.6,13,0,20,61.7
2026-09-22,P02,5,5,49,3203,1139,228,200,34.7,27,0,20,58.9
2026-09-22,P03,7,7,49,3434,1655,236,290,50.1,61,0,20,59.5
2026-09-22,P04,8,8,49,3264,1902,238,332,58.6,69,0,20,59.3
2026-09-22,P05,10,10,49,3145,2297,230,402,69.2,97,0,20,58.4
2026-09-22,P06,12,12,49,3241,2715,226,475,81.8,122,0,20,60.3
2026-09-23,P01,3,3,50,3530,644,215,108,19.4,10,0,20,58.8
2026-09-23,P02,5,5,50,3234,1187,237,199,34.7,26,0,20,59.1
2026-09-23,P03,7,7,50,3537,1688,241,283,49.2,41,0,20,59.1
2026-09-23,P04,8,8,50,3360,1855,232,312,55.4,58,0,20,57.3
2026-09-23,P05,10,10,50,3215,2299,230,387,69.0,86,0,20,60.4
2026-09-23,P06,12,12,50,3338,2825,235,476,82.5,129,0,20,60.9
2026-09-24,P01,3,3,51,3600,680,227,111,19.3,11,0,20,59.2
2026-09-24,P02,5,5,51,3316,1096,219,179,32.1,29,0,20,61.2
2026-09-24,P03,7,7,51,3599,1711,244,278,49.7,56,0,20,60.4
2026-09-24,P04,8,8,51,3392,1744,218,283,50.8,48,0,20,59.7
2026-09-24,P05,10,10,51,3289,2465,246,402,72.9,102,1,20,57.4
2026-09-24,P06,12,12,51,3448,2932,244,476,83.9,146,0,20,59.9
2026-09-25,P01,3,3,52,3752,584,195,92,16.8,12,0,20,61.9
2026-09-25,P02,5,5,52,3430,1175,235,184,32.8,19,0,20,60.2
2026-09-25,P03,7,7,52,3680,1820,260,285,52.7,54,0,20,58.8
2026-09-25,P04,8,8,52,3466,1867,233,294,53.5,66,0,20,59.4
2026-09-25,P05,10,10,52,3368,2252,225,354,65.9,81,0,20,60.6
2026-09-25,P06,12,12,52,3538,2947,246,462,84.7,135,0,20,61.4
2026-09-26,P01,3,3,53,3799,676,225,102,18.7,8,0,20,61.8
2026-09-26,P02,5,5,53,3526,1177,235,178,33.0,23,0,20,59.2
2026-09-26,P03,7,7,53,3747,1649,236,250,46.2,52,0,20,60.5
2026-09-26,P04,8,8,53,3575,1865,233,282,51.5,54,0,20,60.6
2026-09-26,P05,10,10,53,3470,2397,240,364,66.5,92,0,20,60.7
2026-09-26,P06,12,12,53,3610,3046,254,461,83.1,136,0,20,60.1
2026-09-27,P01,3,3,54,4003,760,253,111,21.3,12,0,20,57.7
2026-09-27,P02,5,5,54,3566,1190,238,175,32.1,23,0,20,60.3
2026-09-27,P03,7,7,54,3896,1591,227,233,43.4,39,0,20,59.7
2026-09-27,P04,8,8,54,3684,1798,225,264,48.9,46,0,20,58.5
2026-09-27,P05,10,10,54,3507,2369,237,347,64.9,84,0,20,60.2
2026-09-27,P06,12,12,54,3681,2892,241,424,80.1,126,1,20,58.0
2026-09-28,P01,3,3,55,3940,726,242,103,19.2,11,0,20,60.6
2026-09-28,P02,5,5,55,3685,1140,228,160,30.4,21,0,20,60.5
2026-09-28,P03,7,7,55,3951,1759,251,249,47.3,44,0,20,57.7
2026-09-28,P04,8,8,55,3724,1857,232,262,49.6,44,0,20,60.5
2026-09-28,P05,10,10,55,3584,2260,226,319,58.1,76,0,20,60.3
2026-09-28,P06,12,12,55,3748,2863,239,406,75.9,112,0,20,62.3
2026-09-29,P01,3,3,56,4062,714,238,97,17.7,10,0,20,61.4
2026-09-29,P02,5,5,56,3733,1169,234,160,29.8,25,0,20,62.2
2026-09-29,P03,7,7,56,4009,1761,252,241,45.6,44,0,20,61.0
2026-09-29,P04,8,8,56,3747,1896,237,259,48.5,53,0,20,60.6
2026-09-29,P05,10,10,56,3710,2428,243,332,63.4,67,0,20,60.6
2026-09-29,P06,12,12,56,3830,2896,241,395,75.3,100,0,20,58.1
2026-09-30,P01,3,3,57,4138,735,245,99,18.3,6,0,20,60.4
2026-09-30,P02,5,5,57,3770,1157,231,155,30.3,20,0,20,62.7
2026-09-30,P03,7,7,57,4115,1593,228,214,41.2,36,0,20,60.7
2026-09-30,P04,8,8,57,3902,1930,241,259,49.5,49,1,20,59.9
2026-09-30,P05,10,10,57,3736,2364,236,319,60.1,73,0,20,60.1
2026-09-30,P06,12,12,57,3924,3067,256,412,79.2,105,0,20,62.4
2026-10-01,P01,3,3,58,4214,609,203,80,15.2,4,0,20,64.6
2026-10-01,P02,5,5,58,3868,1210,242,160,30.3,21,1,20,63.6
2026-10-01,P03,7,7,58,4242,1606,229,211,40.6,40,0,20,64.3
2026-10-01,P04,8,8,58,3942,2017,252,266,51.1,56,0,20,60.3
2026-10-01,P05,10,10,58,3828,2493,249,330,63.6,85,0,20,60.5
2026-10-01,P06,12,12,58,3993,3048,254,403,77.2,99,0,20,62.4
2026-10-02,P01,3,3,59,4282,757,252,99,18.8,6,0,20,61.0
2026-10-02,P02,5,4,59,3959,992,248,129,24.3,17,0,20,63.5
2026-10-02,P03,7,7,59,4251,1717,245,223,42.9,37,0,20,61.6
2026-10-02,P04,8,8,59,4011,2004,251,262,50.5,55,0,20,63.1
2026-10-02,P05,10,10,59,3883,2444,244,319,59.9,75,0,20,61.2
2026-10-02,P06,12,12,59,4063,2925,244,380,73.6,120,0,20,63.5
2026-10-03,P01,3,3,60,4366,716,239,92,17.8,2,0,20,65.4
2026-10-03,P02,5,4,60,3990,913,228,117,21.7,5,0,20,62.5
2026-10-03,P03,7,7,60,4326,1719,246,220,42.7,34,0,20,61.7
2026-10-03,P04,8,8,60,4077,1930,241,247,46.8,44,0,20,64.6
2026-10-03,P05,10,10,60,3977,2363,236,303,59.5,65,1,20,63.7
2026-10-03,P06,12,12,60,4176,2857,238,366,70.9,99,0,20,62.8
